code,location:,registered,envelopes,valid,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
595926,K¯iûanov,1†497,866,858,77,0,0,61,2,36,71,11,17,5,0,0,80,6,22,229,4,129,0,5,1,5,88,9
595951,K¯ovÌ,480,306,304,24,0,0,28,2,8,47,6,3,11,0,0,24,0,8,64,3,29,0,2,2,0,41,2
595969,KuklÌk,155,102,102,3,0,0,10,0,2,13,1,2,4,0,0,12,0,1,46,0,5,0,0,0,1,2,0
595977,Kundratice,161,101,100,7,0,0,11,0,1,11,0,3,3,0,0,3,0,2,33,2,16,0,0,0,1,6,1
596001,Kyjov,37,28,28,0,0,0,10,0,1,6,0,0,0,0,0,3,0,2,2,0,4,0,0,0,0,0,0
596019,LaviËky,425,270,268,18,0,0,9,1,5,12,3,2,2,0,0,22,0,11,65,2,85,0,1,2,0,25,3
596035,Lhotka,162,124,124,21,0,0,21,0,3,10,1,4,3,0,0,6,0,3,26,5,12,0,0,0,0,8,1
596051,LÌsek,289,184,182,9,0,0,35,0,5,10,0,0,3,0,1,12,0,3,41,0,46,1,1,0,0,15,0
596060,LÌön·,55,36,35,3,0,0,8,0,2,8,0,3,0,0,0,1,0,0,5,0,2,0,0,0,0,2,1
596086,Mal· Losenice,225,161,160,12,0,0,11,0,13,5,1,1,0,0,0,9,0,4,47,1,39,0,2,1,0,12,2
